縣市	行政區	村里	圖號坐標	型式
臺北市	北投區	智仁里	B6164AB5600	水泥併桿
新北市	三芝區	店子里	B6377FE59	水泥桿
新北市	淡水區	幸福里	B5570BB20	水泥桿
新北市	三芝區	福德里	B6182GE40	水泥桿
臺北市	北投區	中心里	B6263EB21	水泥桿
臺北市	北投區	中央里	B6260AE98	水泥桿
臺北市	北投區	奇岩里	B6359BE83	水泥桿
臺北市	北投區	開明里	B6263CB05	水泥桿
臺北市	南港區	玉成里	B7243CC69	水泥桿
臺北市	南港區	東明里	B7444AA1851	水泥桿
新北市	淡水區	中興里	B5569AE99	水泥桿
臺北市	北投區	八仙里	B6057EE27	水泥桿
臺北市	北投區	永和里	B6563CC82	水泥桿
新北市	淡水區	中和里	B6082GC41	水泥桿
臺北市	北投區	大屯里	B6167HE13	木桿
臺北市	北投區	大屯里	B6167HE76	水泥桿
臺北市	北投區	大屯里	B6268AA44	水泥桿
臺北市	北投區	八仙里	B6057DE56	水泥桿
臺北市	北投區	林泉里	B6563DC14	水泥桿
新北市	淡水區	中和里	B6082HB17	水泥桿
新北市	淡水區	八勢里	B5764AE08	水泥桿
新北市	淡水區	八勢里	B5764DE30	水泥桿
新北市	淡水區	大庄里	B5273DA66	水泥桿
新北市	淡水區	大庄里	B5273DA28	水泥桿
臺北市	北投區	永和里	B6563DC61	木桿
新北市	淡水區	大庄里	B5272DE29	水泥併桿
新北市	淡水區	大庄里	B5273DA64	水泥桿
臺北市	北投區	桃源里	B5962GC26	水泥桿
臺北市	北投區	桃源里	B5962GC07	水泥桿
臺北市	北投區	八仙里	B6057CE85	水泥桿
臺北市	北投區	林泉里	B6563DD44	水泥桿
新北市	淡水區	中和里	B6082HB21	水泥併桿
新北市	淡水區	義山里	B5578ED01	水泥桿
新北市	淡水區	忠寮里	B5975FD61	水泥併桿
新北市	淡水區	忠寮里	B5975FC28	水泥桿
新北市	淡水區	忠寮里	B5975EC81	水泥桿
新北市	淡水區	中和里	B6081HE61	水泥桿
新北市	淡水區	中和里	B6181DC20	水泥桿
新北市	淡水區	中和里	B6181DC57	水泥桿
新北市	淡水區	中和里	B6181DB56	木桿
新北市	三芝區	店子里	B6181EB11	水泥桿
新北市	三芝區	店子里	B6181EA56	水泥桿
新北市	淡水區	中和里	B6181AD89	水泥桿
新北市	淡水區	中和里	B6181BD66	水泥桿
新北市	淡水區	中和里	B6181CD20	水泥桿
新北市	淡水區	中和里	B6181CC62	水泥桿
新北市	淡水區	中和里	B6081GD77	水泥併桿
臺北市	北投區	八仙里	B6057CE14	水泥桿
臺北市	北投區	林泉里	B6563CE82	水泥桿
新北市	淡水區	中和里	B6082HA05	水泥桿
新北市	淡水區	水源里	B5973FA45	水泥桿
新北市	淡水區	水源里	B5972FE39	水泥桿
臺北市	北投區	林泉里	B6564CA52	水泥桿
