縣市	行政區	村里	圖號坐標	型式		
新北市	新店區	龜山里	B7107CA77	水泥桿		
新北市	中和區	信和里	B5932HA89	水泥桿		
新北市	新店區	下城里	B6524BA63	水泥桿		
新北市	烏來區	烏來里	B6600HD85	水泥桿		
新北市	坪林區	石曹里	B9109CB19	鋼桿		
新北市	新店區	粗坑里	B6717EE36	木桿		
新北市	新店區	江陵里	B6628HA15	水泥桿		
新北市	新店區	大同里	B6628HA95	水泥桿		
新北市	新店區	大同里	B6628HA75	水泥桿		
新北市	新店區	大同里	B6728AA08	水泥桿		
新北市	新店區	大同里	B6728AA17	水泥桿		
新北市	新店區	大同里	B6728AA03	水泥桿		
新北市	新店區	大同里	B6728AA01	水泥桿		
新北市	新店區	大同里	B6728AA00	水泥桿		
新北市	新店區	大同里	B6727AE08	水泥桿		
新北市	新店區	大同里	B6727AE16	水泥桿		
新北市	新店區	大同里	B6727AE4301	水泥桿		
新北市	新店區	江陵里	B6628HA49	水泥桿		
新北市	新店區	大同里	B6728AA79	水泥桿		
新北市	新店區	江陵里	B6628HA04	水泥桿		
新北市	新店區	大豐里	B6628GA92	水泥桿		
新北市	新店區	大同里	B6628HB61	水泥桿		
新北市	新店區	江陵里	B6628HB51	水泥桿		
新北市	新店區	大同里	B6728AA09	水泥桿		
新北市	新店區	大同里	B6727AE52	水泥桿		
新北市	新店區	江陵里	B6628HA38	水泥桿		
新北市	新店區	大同里	B6728AB62	水泥桿		
新北市	新店區	大同里	B6728AB61	水泥桿		
新北市	新店區	新生里	B6724BB07	水泥桿		
新北市	新店區	新生里	B6624HD62	水泥併桿		
新北市	新店區	新生里	B6624HC69	木桿		
新北市	新店區	新生里	B6624HD54	水泥桿		
新北市	新店區	中華里	B6624HD47	水泥桿		
新北市	新店區	中華里	B6624HD18	水泥桿		
新北市	新店區	中華里	B6624GE9090	水泥桿		
新北市	新店區	中華里	B6624GE72	水泥桿		
新北市	新店區	中華里	B6624GE52	水泥桿		
新北市	新店區	中華里	B6624GE2384	水泥桿		
新北市	新店區	中華里	B6624GE19	水泥桿		
新北市	新店區	中華里	B6625GA32	水泥桿		
新北市	新店區	中華里	B6625GA54	水泥桿		
新北市	新店區	中華里	B6625GA36	水泥桿		
