縣市	行政區	村里	圖號坐標	型式
臺北市	萬華區	華江里	B6039FC68	水泥桿
臺北市	萬華區	華江里	B6039FD7099	水泥桿
臺北市	萬華區	華江里	B6039GA0985	水泥桿
臺北市	萬華區	華江里	B6039GC5274	水泥桿
臺北市	萬華區	華江里	B6039GD1794	水泥桿
臺北市	萬華區	華江里	B6039GD6147	水泥桿
臺北市	萬華區	華江里	B6039GE2158	水泥桿
臺北市	萬華區	華江里	B6039GE3483	水泥併桿
臺北市	萬華區	華江里	B6039GE44	水泥桿
臺北市	萬華區	榮德里	B6136BD6139	水泥桿
臺北市	萬華區	榮德里	B6136BD9469	水泥桿
臺北市	萬華區	榮德里	B6136CD0313	水泥桿
臺北市	萬華區	銘德里	B6136DE5983	水泥桿
臺北市	萬華區	銘德里	B6136DE87	水泥桿
臺北市	萬華區	銘德里	B6136DE69	水泥桿
臺北市	萬華區	銘德里	B6136DE98	水泥桿
臺北市	萬華區	華中里	B6136ED9305	水泥桿
臺北市	萬華區	銘德里	B6136EE2477	水泥桿
臺北市	萬華區	保德里	B6136EE56	水泥桿
臺北市	萬華區	保德里	B6136EE6924	水泥桿
臺北市	萬華區	華中里	B6136FC2065	水泥桿
臺北市	萬華區	華中里	B6136FC8917	水泥桿
臺北市	萬華區	華中里	B6136FD0122	水泥桿
臺北市	萬華區	華中里	B6136FD5429	水泥桿
臺北市	萬華區	華中里	B6136FD6340	水泥桿
臺北市	萬華區	華中里	B6136FD7210	水泥桿
臺北市	萬華區	華中里	B6136FD7355	水泥桿
臺北市	萬華區	興德里	B6136GB7497	水泥桿
臺北市	萬華區	興德里	B6136GB7674	水泥桿
臺北市	萬華區	興德里	B6136GC5023	水泥桿
臺北市	萬華區	興德里	B6136GC82	水泥桿
臺北市	萬華區	興德里	B6136GC9132	水泥桿
臺北市	萬華區	興德里	B6136GC93	水泥桿
臺北市	萬華區	興德里	B6136GC96	水泥桿
臺北市	萬華區	銘德里	B6137CA06	水泥桿
臺北市	萬華區	銘德里	B6137CA16	水泥桿
臺北市	萬華區	銘德里	B6137CA7722	水泥桿
臺北市	萬華區	孝德里	B6137CA79	水泥桿
臺北市	萬華區	孝德里	B6137CB72	水泥桿
臺北市	萬華區	忠德里	B6137CE9803	水泥桿
臺北市	萬華區	孝德里	B6137DB85	水泥桿
臺北市	萬華區	忠德里	B6137DD8367	木桿
臺北市	萬華區	忠德里	B6137DE0715	水泥桿
臺北市	萬華區	忠德里	B6137DE46	水泥桿
臺北市	萬華區	保德里	B6137EA0998	水泥桿
臺北市	萬華區	保德里	B6137EA7035	水泥桿
臺北市	萬華區	保德里	B6137EA7226	水泥併桿
臺北市	萬華區	全德里	B6137FC9859	水泥桿
臺北市	萬華區	日善里	B6137FD1994	水泥桿
臺北市	萬華區	日善里	B6137FD5901	水泥桿
臺北市	萬華區	全德里	B6137FD89	水泥桿
臺北市	萬華區	日善里	B6137FE1129	水泥桿
臺北市	萬華區	全德里	B6137GC0943	水泥桿
臺北市	萬華區	全德里	B6137GC1502	水泥桿
臺北市	萬華區	全德里	B6137GC2184	水泥桿
臺北市	萬華區	全德里	B6137GD0381	水泥桿
臺北市	萬華區	全德里	B6137GD0696	水泥桿
臺北市	萬華區	全德里	B6137GD19	水泥桿
臺北市	萬華區	日善里	B6137GE5946	木桿
臺北市	萬華區	全德里	B6137HD1319	水泥桿
臺北市	萬華區	全德里	B6137HD1507	水泥桿
臺北市	萬華區	和平里	B6138AC7429	水泥桿
臺北市	萬華區	和平里	B6138AC87	水泥桿
臺北市	萬華區	和平里	B6138BC09	水泥桿
臺北市	萬華區	和平里	B6138BD32	水泥桿
臺北市	萬華區	日善里	B6138EB61	水泥桿
臺北市	萬華區	雙園里	B6138ED7960	水泥桿
臺北市	萬華區	雙園里	B6138ED9702	水泥桿
臺北市	萬華區	雙園里	B6138FD15	水泥桿
臺北市	萬華區	雙園里	B6138HE6664	水泥桿
臺北市	萬華區	雙園里	B6138HE8655	水泥桿
臺北市	萬華區	綠堤里	B6139AB8575	木桿
臺北市	萬華區	和平里	B6139DB8009	水泥桿
臺北市	萬華區	和平里	B6139DB8216	水泥桿
臺北市	萬華區	和平里	B6139DB9257	水泥桿
臺北市	萬華區	糖部里	B6139DC0371	水泥桿
臺北市	萬華區	糖部里	B6139DD5846	水泥桿
臺北市	萬華區	糖部里	B6139DE2401	水泥桿
臺北市	萬華區	和平里	B6139EA4378	水泥桿
臺北市	萬華區	和平里	B6139EA58	木桿
臺北市	萬華區	和平里	B6139EA6320	水泥桿
臺北市	萬華區	和平里	B6139EA6734	水泥桿
臺北市	萬華區	和平里	B6139EA7265	木桿
臺北市	萬華區	和平里	B6139EA7825	水泥桿
臺北市	萬華區	和平里	B6139EA9816	水泥桿
臺北市	萬華區	和平里	B6139EB1239	水泥桿
臺北市	萬華區	和平里	B6139EB6535	木桿
臺北市	萬華區	和平里	B6139FA1808	水泥桿
臺北市	萬華區	雙園里	B6139FA7829	木桿
臺北市	萬華區	雙園里	B6139FA9827	水泥桿
臺北市	萬華區	和平里	B6139FB0642	木桿
臺北市	萬華區	糖部里	B6139FC1860	水泥桿
臺北市	萬華區	糖部里	B6139FC2647	水泥桿
臺北市	萬華區	糖部里	B6139FD0111	水泥桿
臺北市	萬華區	糖部里	B6139FD49	水泥桿
臺北市	萬華區	糖部里	B6139FD7131	水泥桿
臺北市	萬華區	糖部里	B6139FE33	水泥桿
臺北市	萬華區	雙園里	B6139GA6956	木桿
臺北市	萬華區	雙園里	B6139GB2174	水泥桿
臺北市	萬華區	糖部里	B6139GE3413	木桿
臺北市	萬華區	糖部里	B6139GE3504	水泥桿
臺北市	萬華區	雙園里	B6139HA0679	水泥桿
臺北市	萬華區	富福里	B6139HD6989	水泥桿
臺北市	萬華區	糖部里	B6139HE0454	水泥桿
臺北市	萬華區	糖部里	B6139HE0632	水泥桿
臺北市	萬華區	柳鄉里	B6140AB7527	水泥桿
臺北市	萬華區	柳鄉里	B6140BA4591	水泥桿
臺北市	萬華區	柳鄉里	B6140BA57	水泥桿
臺北市	萬華區	柳鄉里	B6140BA8931	水泥桿
臺北市	萬華區	柳鄉里	B6140BB23	水泥桿
臺北市	萬華區	柳鄉里	B6140BB41	水泥桿
臺北市	萬華區	柳鄉里	B6140BB60	水泥桿
臺北市	萬華區	柳鄉里	B6140BB89	水泥桿
臺北市	萬華區	柳鄉里	B6140BB91	水泥桿
臺北市	萬華區	柳鄉里	B6140BC4050	水泥桿
臺北市	萬華區	柳鄉里	B6140BC5215	水泥併桿
臺北市	萬華區	柳鄉里	B6140BC6096	水泥桿
臺北市	萬華區	柳鄉里	B6140CA1567	水泥桿
臺北市	萬華區	柳鄉里	B6140CA3555	水泥桿
臺北市	萬華區	柳鄉里	B6140CB0200	水泥桿
臺北市	萬華區	柳鄉里	B6140CB14	水泥桿
臺北市	萬華區	柳鄉里	B6140CB2600	水泥桿
臺北市	萬華區	柳鄉里	B6140CB35	水泥桿
臺北市	萬華區	柳鄉里	B6140CB36	水泥桿
臺北市	萬華區	柳鄉里	B6140CB4514	水泥桿
臺北市	萬華區	柳鄉里	B6140CB54	水泥桿
臺北市	萬華區	柳鄉里	B6140CB6255	水泥桿
臺北市	萬華區	柳鄉里	B6140CB69	水泥桿
臺北市	萬華區	柳鄉里	B6140CB8263	水泥桿
臺北市	萬華區	柳鄉里	B6140CB90	水泥桿
臺北市	萬華區	柳鄉里	B6140CC81	水泥桿
臺北市	萬華區	柳鄉里	B6140DB1041	水泥桿
臺北市	萬華區	柳鄉里	B6140DB1797	水泥桿
臺北市	萬華區	柳鄉里	B6140DC03	水泥桿
臺北市	萬華區	柳鄉里	B6140DC26	水泥桿
臺北市	萬華區	柳鄉里	B6140DC4041	水泥桿
臺北市	萬華區	柳鄉里	B6140DC59	水泥桿
臺北市	萬華區	柳鄉里	B6140DD61	水泥桿
臺北市	萬華區	柳鄉里	B6140DD72	水泥桿
臺北市	萬華區	柳鄉里	B6140DD94	水泥併桿
臺北市	萬華區	青山里	B6140FA28	水泥桿
臺北市	萬華區	青山里	B6140FA77	水泥桿
臺北市	萬華區	青山里	B6140FA87	水泥桿
