縣市	行政區	村里	圖號坐標	型式		
新北市	新莊區	福基里	B5745EE68	水泥桿		
新北市	三重區	大有里	B5847FE38	水泥桿		
新北市	蘆洲區	樓厝里	B5951HC02	水泥桿		
新北市	五股區	成州里	B5554GB52	水泥桿		
新北市	五股區	成州里	B5554GB5287	水泥桿		
新北市	樹林區	和平里	B5228BB20	水泥桿		
新北市	泰山區	福興里	B5345GA0472	水泥桿		
新北市	五股區	興珍里	B5647BE5801	水泥桿		
新北市	新莊區	光華里	B5234GD45	水泥桿		
新北市	樹林區	樹西里	B5229CE2501	水泥桿		
新北市	新莊區	化成里	B5742FE81	水泥桿		
新北市	新莊區	光和里	B5235HA6670	水泥桿		
新北市	新莊區	中和里	B5642AA1372	水泥桿		
新北市	三峽區	礁溪里	B4617BA7568	水泥桿		
桃園市	龜山區	迴龍里	B5036DC70	水泥桿		
新北市	新莊區	營盤里	B5439DD45	水泥桿		
新北市	蘆洲區	中路里	B5750FA86	水泥桿		
新北市	蘆洲區	正義里	B5752CC52	水泥桿		
新北市	新莊區	營盤里	B5439DE00	水泥桿		
新北市	三重區	光輝里	B6145HD91	水泥桿		
新北市	三峽區	大埔里	B4510EC09	水泥桿		
新北市	蘆洲區	保和里	B5851DA81	水泥桿		
新北市	蘆洲區	保和里	B5851DA84	水泥桿		
新北市	泰山區	楓樹里	B5446CA82	水泥桿		
新北市	泰山區	楓樹里	B5446DB52	水泥桿		
新北市	蘆洲區	樓厝里	B5951FC77	水泥桿		
新北市	泰山區	福興里	B5344HD74	水泥桿		
新北市	泰山區	同興里	B5344HD31	水泥桿		
新北市	新莊區	中美里	B5641BB19	水泥桿		
新北市	新莊區	雙鳳里	B4938FD07	水泥併桿		
新北市	新莊區	雙鳳里	B4938EE90	水泥併桿		
新北市	三重區	幸福里	B6046EE81	水泥桿		
新北市	新莊區	立廷里	B5542BD32	水泥桿		
新北市	蘆洲區	保新里	B5752GB09	水泥桿		
新北市	三重區	崇德里	B6148GC22	水泥桿		
新北市	三重區	瑞德里	B6148GC74	水泥桿		
新北市	蘆洲區	正義里	B5751EE76	水泥桿		
新北市	蘆洲區	正義里	B5751EE34	水泥桿		
新北市	三重區	幸福里	B6046AD9975	水泥桿		
桃園市	龜山區	龍華里	B4936GA13	水泥桿		
新北市	新莊區	文明里	B5640HC48	水泥桿		
新北市	新莊區	文明里	B5640HC69	水泥桿		
新北市	林口區	西林里	B4749HC26	水泥桿		
新北市	林口區	西林里	B4749HC07	水泥桿		
新北市	蘆洲區	保和里	B5851DA01	水泥桿		
新北市	林口區	菁湖里	B4749GD52	水泥桿		
新北市	林口區	菁湖里	B4749GD64	水泥桿		
新北市	林口區	菁湖里	B4749GD75	水泥桿		
新北市	林口區	菁湖里	B4749GD88	水泥桿		
新北市	五股區	觀音里	B5455CE89	水泥桿		
新北市	樹林區	彭福里	B5227FE42	水泥桿		
新北市	新莊區	營盤里	B5440CC87	水泥桿		
新北市	三重區	光田里	B6045BD04	水泥桿		
新北市	三重區	光田里	B6045AD85	水泥桿		
新北市	新莊區	福營里	B5339EA75	水泥桿		
新北市	三峽區	插角里	B5204AD81	水泥桿		
新北市	林口區	太平里	B4656FE22	水泥桿		
新北市	五股區	福德里	B5447CE40	水泥桿		
桃園市	龜山區	大崗里	B4342FD3791	水泥桿		
新北市	樹林區	槍寮里	B5134DA35	水泥桿		
桃園市	蘆竹區	坑子里	B4260CA52	水泥併桿		
新北市	八里區	荖阡里	B5060AA36	水泥桿		
桃園市	龜山區	大崗里	B4443AA02	水泥桿		
新北市	五股區	五龍里	B5153CD87	水泥桿		
新北市	三峽區	永館里	B4518FC24	水泥桿		
新北市	五股區	水碓里	B5449DA75	水泥桿		
新北市	蘆洲區	水湳里	B5852CE7880	水泥桿		
新北市	三峽區	大埔里	B4410AE35	水泥桿		
新北市	三峽區	大埔里	B4410AE03	水泥桿		
新北市	三峽區	大埔里	B4310HE43	水泥桿		
新北市	三峽區	大埔里	B4310HE33	水泥桿		
新北市	三峽區	大埔里	B4310HE04	水泥併桿		
新北市	三峽區	大埔里	B4310HE05	水泥桿		
新北市	三峽區	大埔里	B4310HD47	水泥桿		
新北市	林口區	瑞平里	B4310HD65	水泥桿		
新北市	林口區	瑞平里	B4310HD23	水泥桿		
新北市	三峽區	大埔里	B4310GD84	水泥桿		
新北市	林口區	瑞平里	B4310GD82	水泥桿		
新北市	三峽區	大埔里	B4310GD64	水泥桿		
新北市	林口區	瑞平里	B4310GD72	水泥桿		
新北市	三峽區	大埔里	B4310GD34	水泥桿		
新北市	林口區	瑞平里	B4310FD93	水泥桿		
新北市	三峽區	二鬮里	B4313FE12	水泥桿		
新北市	三峽區	二鬮里	B4313FE20	水泥桿		
新北市	三峽區	二鬮里	B4313ED51	水泥桿		
新北市	三峽區	二鬮里	B4313EC48	水泥桿		
新北市	三峽區	二鬮里	B4313ED60	水泥桿		
新北市	三峽區	二鬮里	B4313ED80	水泥桿		
新北市	三峽區	二鬮里	B4313DD33	水泥桿		
新北市	三峽區	二鬮里	B4313DD04	水泥桿		
新北市	三峽區	二鬮里	B4313CD74	水泥桿		
新北市	三峽區	二鬮里	B4313BC25	水泥桿		
新北市	三峽區	二鬮里	B4313BC06	水泥桿		
新北市	三峽區	二鬮里	B4313AC71	水泥桿		
新北市	三峽區	二鬮里	B4313AC56	水泥桿		
新北市	三峽區	二鬮里	B4313AB96	水泥桿		
新北市	三峽區	二鬮里	B4213HB81	水泥桿		
桃園市	龜山區	樂善里	B4743BA46	水泥桿		
桃園市	龜山區	樂善里	B4743BA58	水泥桿		
桃園市	龜山區	樂善里	B4743BB70	水泥桿		
桃園市	龜山區	樂善里	B4743BB82	水泥桿		
桃園市	龜山區	文化里	B4545HA54	水泥桿		
新北市	三峽區	竹崙里	B5510DA83	水泥桿		
新北市	三峽區	竹崙里	B5509EC26	水泥桿		
新北市	三峽區	竹崙里	B5509EC27	水泥桿		
新北市	三峽區	竹崙里	B5509EC64	水泥桿		
新北市	三峽區	竹崙里	B5509FC05	水泥桿		
新北市	三峽區	竹崙里	B5509FC34	水泥桿		
新北市	三峽區	竹崙里	B5509FC18	水泥桿		
新北市	三峽區	竹崙里	B5509FC21	水泥桿		
新北市	三峽區	竹崙里	B5509FB26	水泥桿		
