縣市	行政區	村里	圖號坐標	型式
臺中市	大甲區	義和里	G5085DB27	水泥桿
臺中市	大甲區	德化里	G5190BE68	水泥併桿
臺中市	北屯區	新平里	G5651BA66	水泥桿
臺中市	西屯區	上德里	G5347DD7440	水泥桿
臺中市	西屯區	逢福里	G5449FB66	水泥桿
臺中市	西屯區	龍潭里	G5146BB72	水泥桿
臺中市	和平區	平等里	H3782GE71	水泥桿
臺中市	和平區	自由里	G9175CA46	水泥桿
臺中市	南屯區	鎮平里	G5138EE52	水泥桿
臺中市	南區	樹德里	G5337GA45	水泥桿
臺中市	烏日區	前竹里	G5333HE2943	水泥桿
臺中市	清水區	武鹿里	G4171HB98	水泥桿
臺中市	清水區	慷榔里	G3971GB3155	水泥桿
臺中市	新社區	復盛里	G7463DA05	水泥桿
臺中市	龍井區	新東里	G4750BE21	水泥桿
臺中市	和平區	平等里	H3782HC31	水泥桿
臺中市	西屯區	龍潭里	G5146BB92	水泥桿
臺中市	北屯區	大坑里	G6652DB67	水泥桿
臺中市	清水區	慷榔里	G4070FC39	水泥桿
臺中市	豐原區	三村里	G6161CC42	水泥桿
臺中市	北屯區	大坑里	G6652DC84	水泥桿
臺中市	和平區	平等里	H3782HD08	水泥桿
臺中市	和平區	平等里	H3782HC06	水泥桿
臺中市	太平區	永隆里	G6434AE22	水泥桿
臺中市	沙鹿區	三鹿里	G4356FD70	水泥桿
臺中市	大甲區	文曲里	G4982CE50	水泥桿
臺中市	大肚區	社腳里	G4238HD06	水泥桿
臺中市	大肚區	瑞井里	G4445FB52	水泥桿
臺中市	大肚區	營埔里	G4237GC25	水泥桿
臺中市	太平區	東汴里	G6835HC21	水泥桿
臺中市	太平區	東汴里	G7528HA87	水泥桿
臺中市	太平區	新福里	G6143FD37	水泥桿
臺中市	西屯區	上石里	G5448BB61	水泥桿
臺中市	沙鹿區	三鹿里	G4454CB20	水泥桿
臺中市	沙鹿區	西勢里	G4868BA73	水泥桿
臺中市	和平區	中坑里	G8865BC10	水泥桿
臺中市	和平區	自由里	G9172HB80	水泥桿
臺中市	東勢區	明正里	G7378BD19	水泥桿
臺中市	梧棲區	永安里	G4161EA99	水泥桿
臺中市	清水區	楊厝里	G5074DE29	水泥桿
臺中市	龍井區	忠和里	G3858GC53	水泥桿
臺中市	龍井區	龍東里	G3949CE58	水泥桿
臺中市	龍井區	龍東里	G3950FC05	水泥桿
臺中市	龍井區	龍東里	G3949DE06	水泥桿
臺中市	烏日區	溪埧里	G5326FE29	水泥併桿
臺中市	北屯區	松勇里	G6151AD19	水泥桿
臺中市	大里區	樹王里	G5635DA75	水泥併桿
臺中市	太平區	頭汴里	G7041DD43	水泥桿
臺中市	北屯區	軍功里	G6351CC22	水泥桿
臺中市	西屯區	上石里	G5448BB44	水泥桿
臺中市	沙鹿區	六路里	G4558GA11	水泥桿
臺中市	清水區	下湳里	G4674DB05	水泥併桿
臺中市	清水區	高西里	G4179HC68	水泥桿
臺中市	清水區	楊厝里	G5075DA64	水泥桿
臺中市	龍井區	龍東里	G3950CA50	水泥桿
臺中市	大甲區	江南里	G5193FE26	水泥桿
臺中市	大肚區	瑞井里	G4445FA15	水泥桿
臺中市	太平區	東汴里	G6835HB73	水泥桿
臺中市	太平區	黃竹里	G7129HC01	水泥桿
臺中市	外埔區	大同里	G5384FA85	水泥桿
臺中市	外埔區	永豐里	G5684FA24	水泥桿
臺中市	烏日區	螺潭里	G5323FE90	水泥桿
臺中市	梧棲區	永安里	G3959BE27	水泥桿
臺中市	清水區	楊厝里	G5075DA66	水泥桿
臺中市	南屯區	春社里	G4940DA50	水泥桿
臺中市	外埔區	部子里	G5688EB50	水泥桿
臺中市	大肚區	瑞井里	G4445FA25	水泥桿
臺中市	大肚區	瑞井里	G4445FA01	水泥桿
臺中市	外埔區	馬鳴里	G5686BC82	水泥桿
臺中市	東勢區	明正里	G7378CD14	水泥桿
臺中市	烏日區	螺潭里	G5323FD98	H桿
臺中市	清水區	武鹿里	G4272HE24	水泥桿
臺中市	龍井區	忠和里	G3859HB71	水泥桿
臺中市	龍井區	忠和里	G3959BE40	水泥桿
臺中市	大肚區	營埔里	G4237HD28	水泥桿
臺中市	大里區	樹王里	G5635EB21	水泥桿
臺中市	太平區	東汴里	G7627AE21	水泥桿
臺中市	太平區	頭汴里	G7041ED30	水泥桿
臺中市	北屯區	同榮里	G5654CD49	水泥桿
臺中市	北屯區	軍功里	G6351CB40	水泥桿
臺中市	沙鹿區	三鹿里	G4453CE53	水泥桿
臺中市	沙鹿區	犁分里	G4765DC67	水泥桿
臺中市	烏日區	螺潭里	G5323GD16	水泥桿
臺中市	清水區	下湳里	G4673BD68	水泥桿
臺中市	清水區	武鹿里	G4272HE47	水泥桿
臺中市	龍井區	龍東里	G3950ED29	水泥桿
臺中市	新社區	慶西里	G7648BE38	水泥桿
臺中市	大肚區	社腳里	G4338AC56	水泥桿
臺中市	大肚區	營埔里	G4237HE30	水泥桿
臺中市	太平區	東汴里	G7627AD17	水泥桿
臺中市	太平區	黃竹里	G7328DE23	水泥桿
臺中市	北屯區	同榮里	G5654CD64	水泥桿
臺中市	外埔區	馬鳴里	G5686BB67	水泥桿
臺中市	后里區	墩南里	G6375HC27	水泥桿
臺中市	沙鹿區	六路里	G4557GD67	水泥桿
臺中市	沙鹿區	西勢里	G4765DC99	水泥桿
臺中市	和平區	自由里	G9271BE46	水泥桿
臺中市	東勢區	隆興里	G8163EC32	水泥桿
臺中市	烏日區	螺潭里	G5323GD32	水泥桿
臺中市	太平區	新吉里	G6343FE45	水泥桿
臺中市	大甲區	江南里	G5194FB52	水泥桿
臺中市	大肚區	營埔里	G4237HE53	水泥桿
臺中市	烏日區	螺潭里	G5323GC57	水泥桿
臺中市	梧棲區	永安里	G3959AD42	水泥桿
臺中市	清水區	武鹿里	G4273HA84	水泥桿
臺中市	太平區	黃竹里	G7328EE23	水泥桿
臺中市	太平區	新吉里	G6343FD06	水泥桿
臺中市	太平區	新吉里	G6343FD08	水泥桿
臺中市	烏日區	螺潭里	G5323GC36	水泥桿
臺中市	大肚區	營埔里	G4237HE76	水泥桿
臺中市	北屯區	同榮里	G5654DD14	水泥併桿
臺中市	外埔區	中山里	G5686BB41	水泥桿
臺中市	沙鹿區	六路里	G4557GD30	水泥桿
臺中市	龍井區	龍東里	G3950DE59	水泥桿
臺中市	大肚區	瑞井里	G4444DC97	水泥桿
臺中市	太平區	東汴里	G6934AE72	水泥桿
臺中市	太平區	頭汴里	G7041FC24	水泥桿
臺中市	西屯區	上石里	G5448AD00	水泥桿
臺中市	南屯區	春社里	G5041CC74	水泥桿
臺中市	梧棲區	永安里	G3959AC26	水泥桿
臺中市	新社區	協成里	G7648CC91	水泥桿
臺中市	龍井區	新庄里	G4452DC58	水泥桿
臺中市	太平區	頭汴里	G7041FA11	水泥桿
臺中市	大甲區	文曲里	G4883HA64	水泥桿
臺中市	大肚區	瑞井里	G4444DC73	水泥桿
臺中市	太平區	東汴里	G6934BD08	水泥桿
臺中市	北屯區	同榮里	G5654DD83	水泥桿
臺中市	北屯區	同榮里	G5755FB95	水泥桿
臺中市	后里區	廣福里	G6375HB27	水泥桿
臺中市	西屯區	上石里	G5448AD01	水泥桿
臺中市	南屯區	春社里	G5041CC43	水泥桿
臺中市	烏日區	螺潭里	G5127HA32	水泥桿
臺中市	烏日區	螺潭里	G5323HB17	水泥併桿
臺中市	清水區	南社里	G4268DC07	水泥桿
臺中市	后里區	眉山里	G5979GE37	水泥桿
臺中市	北屯區	同榮里	G5654DC19	水泥桿
臺中市	大肚區	瑞井里	G4444DC14	水泥桿
臺中市	太平區	永隆里	G6433FD19	水泥桿
臺中市	太平區	頭汴里	G7041ED71	水泥桿
臺中市	太平區	頭汴里	G7041EE43	水泥桿
臺中市	大肚區	新興里	G4242BD08	水泥桿
臺中市	太平區	新福里	G6243AE53	水泥桿
臺中市	太平區	聖和里	G6739AB62	水泥桿
臺中市	北區	建德里	G6045DC53	水泥桿
臺中市	西屯區	協和里	G4948FA82	水泥桿
臺中市	西屯區	港尾里	G5554GB27	水泥桿
臺中市	清水區	田寮里	G4574HD41	水泥桿
臺中市	清水區	南社里	G4368FC14	水泥桿
臺中市	大肚區	新興里	G4242BD10	水泥桿
臺中市	烏日區	光明里	G5332BB46	水泥桿
臺中市	梧棲區	大村里	G4065DA42	水泥桿
臺中市	梧棲區	大庄里	G4165DC34	水泥桿
臺中市	梧棲區	大庄里	G4165DC47	水泥桿
臺中市	烏日區	光明里	G5332BB25	水泥桿
