縣市	行政區	村里	圖號坐標	型式		
臺東縣	臺東市	建農里	R0724HE01	水泥桿		
臺東縣	成功鎮	博愛里	O4931FC29	水泥桿		
臺東縣	成功鎮	博愛里	O4931FC48	水泥桿		
臺東縣	成功鎮	博愛里	O4931FD20	水泥併桿		
臺東縣	成功鎮	博愛里	O4931FC25	水泥桿		
臺東縣	成功鎮	博愛里	O4931FC22	水泥桿		
臺東縣	成功鎮	博愛里	O4931FB28	水泥桿		
臺東縣	成功鎮	博愛里	O4931FB14	水泥桿		
臺東縣	成功鎮	忠孝里	O4931FA06	水泥桿		
臺東縣	成功鎮	忠孝里	O4931FA23	水泥桿		
臺東縣	成功鎮	忠孝里	O4930FE39	水泥桿		
臺東縣	成功鎮	忠孝里	O4930FE3963	水泥桿		
臺東縣	成功鎮	忠孝里	O4930FE38	水泥桿		
臺東縣	成功鎮	博愛里	O4931CE44	水泥併桿		
臺東縣	成功鎮	博愛里	O4931CE93	水泥桿		
臺東縣	成功鎮	博愛里	O4931DE22	水泥桿		
臺東縣	成功鎮	博愛里	O4931DE70	水泥併桿		
臺東縣	成功鎮	博愛里	O4931DE60	水泥桿		
臺東縣	成功鎮	博愛里	O4931DE83	水泥桿		
臺東縣	成功鎮	博愛里	O4931DD86	水泥桿		
臺東縣	成功鎮	博愛里	O4931ED24	水泥桿		
臺東縣	成功鎮	博愛里	O4931ED62	水泥桿		
臺東縣	成功鎮	博愛里	O4931ED90	水泥桿		
臺東縣	池上鄉	福文村	O2518EE62	水泥桿		
臺東縣	池上鄉	福文村	O2518EE90	水泥桿		
臺東縣	池上鄉	福文村	O2518FD28	水泥桿		
臺東縣	池上鄉	福文村	O2518FD56	水泥桿		
臺東縣	池上鄉	福文村	O2518FD8401	水泥桿		
臺東縣	池上鄉	福文村	O2518GD03	水泥桿		
臺東縣	池上鄉	福文村	O2518GD30	水泥桿		
臺東縣	池上鄉	福文村	O2518GC59	水泥桿		
臺東縣	池上鄉	福文村	O2518GC87	水泥桿		
臺東縣	池上鄉	福文村	O2518HC15	水泥桿		
臺東縣	池上鄉	福文村	O2519CA85	水泥桿		
臺東縣	池上鄉	福文村	O2518HC33	水泥桿		
臺東縣	池上鄉	福文村	O2518HC61	水泥桿		
臺東縣	池上鄉	福文村	O2518HB99	水泥桿		
臺東縣	池上鄉	福文村	O2618AB17	水泥桿		
臺東縣	池上鄉	福文村	O2618AB45	水泥併桿		
臺東縣	池上鄉	福文村	O2618AB64	水泥桿		
臺東縣	池上鄉	福文村	O2618AB91	水泥桿		
臺東縣	池上鄉	福文村	O2618BA19	水泥併桿		
臺東縣	池上鄉	福文村	O2618BA47	水泥桿		
臺東縣	池上鄉	福文村	O2618BA65	水泥桿		
臺東縣	池上鄉	福文村	O2519CA94	水泥桿		
臺東縣	池上鄉	福文村	O2618BA84	水泥桿		
臺東縣	池上鄉	福文村	O2618CA01	水泥桿		
臺東縣	池上鄉	福文村	O2617CE29	水泥桿		
臺東縣	池上鄉	福文村	O2617CE38	水泥桿		
臺東縣	池上鄉	福文村	O2617CE48	水泥桿		
臺東縣	池上鄉	福文村	O2617CE45	水泥桿		
臺東縣	池上鄉	福文村	O2617CE43	水泥桿		
臺東縣	池上鄉	福文村	O2617CE40	水泥桿		
臺東縣	池上鄉	福文村	O2617CD47	水泥桿		
臺東縣	池上鄉	福文村	O2617CD54	水泥桿		
臺東縣	池上鄉	福文村	O2519DA03	水泥桿		
臺東縣	池上鄉	福文村	O2617CD50	水泥桿		
臺東縣	池上鄉	福文村	O2617CC67	水泥桿		
臺東縣	池上鄉	福文村	O2617CC56	水泥桿		
臺東縣	池上鄉	福文村	O2617CC63	水泥桿		
臺東縣	池上鄉	福文村	O2617CC70	水泥桿		
臺東縣	池上鄉	福文村	O2617CB69	水泥併桿		
臺東縣	池上鄉	福文村	O2617CB77	水泥桿		
臺東縣	池上鄉	福文村	O2617CB98	水泥桿		
臺東縣	池上鄉	福文村	O2617DB15	水泥桿		
臺東縣	池上鄉	福文村	O2617DB32	水泥桿		
臺東縣	池上鄉	福文村	O2617DB50	水泥桿		
臺東縣	池上鄉	福文村	O2617DA77	水泥桿		
臺東縣	池上鄉	福文村	O2617DA95	水泥桿		
臺東縣	池上鄉	福文村	O2519DA31	水泥桿		
臺東縣	池上鄉	福文村	O2617EA03	水泥桿		
臺東縣	池上鄉	福原村	O2617EA12	水泥桿		
臺東縣	池上鄉	福文村	O2617EA30	水泥桿		
臺東縣	池上鄉	福文村	O2616EE57	水泥桿		
臺東縣	池上鄉	福文村	O2616EE66	水泥桿		
臺東縣	池上鄉	福原村	O2616EE74	水泥桿		
臺東縣	池上鄉	福原村	O2616EE91	水泥桿		
臺東縣	池上鄉	福原村	O2616FE00	水泥桿		
臺東縣	池上鄉	福文村	O2616FD28	水泥桿		
臺東縣	池上鄉	福原村	O2616FD36	水泥桿		
臺東縣	池上鄉	福文村	O2518DE69	水泥桿		
臺東縣	池上鄉	福文村	O2616FD54	水泥桿		
臺東縣	池上鄉	福文村	O2616FD72	水泥桿		
臺東縣	池上鄉	福文村	O2616FD80	水泥桿		
臺東縣	池上鄉	福原村	O2616FC98	水泥桿		
臺東縣	池上鄉	福文村	O2518DE97	水泥桿		
臺東縣	池上鄉	福文村	O2518EE15	水泥桿		
臺東縣	池上鄉	福文村	O2518EE43	水泥桿		
臺東縣	池上鄉	新興村	O2417AC89	水泥桿		
臺東縣	池上鄉	新興村	O2417AC98	水泥桿		
臺東縣	臺東市	新園里	R0536CC20	水泥桿		
臺東縣	臺東市	新園里	R0436HC91	水泥桿		
臺東縣	臺東市	新園里	R0436HC53	水泥桿		
臺東縣	卑南鄉	東興村	R0436HC34	水泥桿		
臺東縣	卑南鄉	東興村	R0436HC05	水泥桿		
臺東縣	卑南鄉	東興村	R0436GC86	水泥桿		
臺東縣	卑南鄉	東興村	R0436GC38	水泥桿		
臺東縣	卑南鄉	東興村	R0436GC09	水泥桿		
臺東縣	卑南鄉	東興村	R0436FD71	水泥桿		
臺東縣	卑南鄉	東興村	R0436FD52	水泥桿		
臺東縣	卑南鄉	東興村	R0436FD23	水泥桿		
臺東縣	臺東市	新園里	R0536CB29	水泥桿		
臺東縣	卑南鄉	東興村	R0436ED84	水泥桿		
臺東縣	卑南鄉	東興村	R0436ED55	水泥桿		
臺東縣	卑南鄉	東興村	R0436ED45	水泥桿		
臺東縣	卑南鄉	東興村	R0436ED07	水泥桿		
臺東縣	卑南鄉	東興村	R0436DD88	水泥桿		
臺東縣	卑南鄉	東興村	R0436DE41	水泥桿		
臺東縣	卑南鄉	東興村	R0436CE94	水泥桿		
臺東縣	卑南鄉	東興村	R0436CE82	水泥桿		
臺東縣	卑南鄉	東興村	R0436CE55	水泥桿		
臺東縣	卑南鄉	東興村	R0436CE17	水泥桿		
臺東縣	卑南鄉	東興村	R0436BE79	水泥桿		
臺東縣	卑南鄉	東興村	R0437BA22	水泥桿		
臺東縣	臺東市	新園里	R0536BC80	水泥桿		
臺東縣	卑南鄉	東興村	R0437AA83	水泥桿		
臺東縣	卑南鄉	東興村	R0437AA44	水泥桿		
臺東縣	卑南鄉	東興村	R0437AA57	水泥併桿		
臺東縣	卑南鄉	東興村	R0437AA05	水泥桿		
臺東縣	卑南鄉	東興村	R0437AA06	水泥桿		
臺東縣	卑南鄉	東興村	R0337HA75	水泥桿		
臺東縣	卑南鄉	東興村	R0337HA66	水泥桿		
臺東縣	卑南鄉	東興村	R0337HA56	水泥桿		
臺東縣	臺東市	新園里	R0536BB89	水泥桿		
臺東縣	臺東市	新園里	R0536BB58	水泥桿		
臺東縣	臺東市	新園里	R0536BB35	水泥桿		
臺東縣	臺東市	新園里	R0536AB97	水泥桿		
