縣市	行政區	村里	圖號坐標	型式		
新北市	萬里區	龜吼里	B8473GA15	水泥桿		
基隆市	安樂區	西川里	B9062HD18	水泥桿		
基隆市	中山區	仙洞里	B9364AE96	水泥桿		
基隆市	中正區	新富里	B9862DE32	水泥桿		
新北市	貢寮區	雙玉里	C1535FC87	水泥桿		
基隆市	安樂區	西川里	B9062HC18	水泥併桿		
基隆市	中正區	砂子里	B9960FE50	水泥併桿		
基隆市	中正區	砂子里	B9960GE65	水泥桿		
基隆市	中山區	中和里	B8964GD18	水泥桿		
基隆市	中山區	協和里	B9168CA40	水泥併桿		
基隆市	中正區	平寮里	B9567CD62	木桿		
新北市	瑞芳區	永慶里	C0557FA31	鋼桿		
新北市	瑞芳區	永慶里	C0557FA52	木桿		
新北市	瑞芳區	基山里	C0557FB81	鋼桿		
新北市	瑞芳區	永慶里	C0557GA28	水泥桿		
新北市	瑞芳區	永慶里	C0557GA19	水泥併桿		
新北市	瑞芳區	基山里	C0557FA68	水泥桿		
新北市	瑞芳區	基山里	C0557FB63	水泥桿		
新北市	瑞芳區	鼻頭里	C1460AA01	水泥桿		
新北市	瑞芳區	鼻頭里	C1459GB48	水泥桿		
新北市	貢寮區	龍崗里	C1331HA56	木桿		
基隆市	信義區	禮儀里	B9460HD57	水泥併桿		
基隆市	七堵區	永安里	B8853EE3400	水泥桿		
新北市	瑞芳區	龍川里	C0056DB32	水泥桿		
新北市	瑞芳區	龍川里	C0056DB71	水泥桿		
新北市	瑞芳區	龍川里	C0056DA49	水泥桿		
新北市	瑞芳區	柑坪里	C0256GB53	水泥併桿		
新北市	瑞芳區	柑坪里	C0256FB93	水泥併桿		
新北市	瑞芳區	柑坪里	C0256GB12	水泥併桿		
新北市	瑞芳區	光復里	C0352FC35	水泥併桿		
新北市	瑞芳區	光復里	C0352FC04	水泥桿		
新北市	瑞芳區	光復里	C0352EC49	水泥桿		
新北市	瑞芳區	光復里	C0352ED31	木桿		
新北市	汐止區	湖光里	B7847HD8100	H桿		
基隆市	暖暖區	碇和里	B9354AE40	水泥桿		
基隆市	暖暖區	碇和里	B9254HE13	水泥桿		
基隆市	暖暖區	碇和里	B9254HE42	水泥桿		
基隆市	暖暖區	碇內里	B9354HB54	水泥桿		
新北市	瑞芳區	新峰里	C0155HE7522	水泥桿		
新北市	平溪區	白石里	B9037EB73	水泥桿		
新北市	平溪區	白石里	B9137AC00	水泥桿		
新北市	雙溪區	魚行里	C0835HC91	水泥桿		
新北市	雙溪區	魚行里	C0934AD84	水泥桿		
新北市	雙溪區	魚行里	C0934BD12	水泥桿		
新北市	雙溪區	魚行里	C0934BC58	水泥併桿		
新北市	雙溪區	魚行里	C0934BC74	水泥桿		
新北市	雙溪區	魚行里	C0934BB89	水泥桿		
新北市	雙溪區	魚行里	C0934BB96	水泥桿		
新北市	雙溪區	魚行里	C0934BB81	水泥併桿		
新北市	雙溪區	魚行里	C0934BA57	水泥桿		
新北市	雙溪區	魚行里	C0934BA04	水泥併桿		
新北市	雙溪區	魚行里	C0934AA61	水泥桿		
新北市	雙溪區	魚行里	C0835HB77	水泥桿		
新北市	雙溪區	魚行里	C0934AA00	水泥桿		
新北市	雙溪區	魚行里	C0833HE69	水泥桿		
新北市	雙溪區	魚行里	C0833HE28	水泥桿		
新北市	雙溪區	魚行里	C0833GE97	水泥桿		
新北市	雙溪區	魚行里	C0833HE15	木桿		
新北市	雙溪區	魚行里	C0833HE03	水泥桿		
新北市	雙溪區	魚行里	C0833GE65	水泥桿		
新北市	雙溪區	魚行里	C0833GD69	水泥併桿		
新北市	雙溪區	魚行里	C0833FD99	水泥桿		
新北市	雙溪區	魚行里	C0833GD31	水泥桿		
新北市	雙溪區	魚行里	C0833FC77	水泥桿		
新北市	雙溪區	魚行里	C0833FC24	水泥桿		
新北市	雙溪區	魚行里	C0833FD61	水泥併桿		
新北市	雙溪區	魚行里	C0833FD22	水泥桿		
新北市	雙溪區	魚行里	C0835HA68	水泥桿		
新北市	雙溪區	魚行里	C0833ED72	水泥桿		
新北市	雙溪區	魚行里	C0833EC57	水泥桿		
新北市	雙溪區	魚行里	C0833EC73	水泥桿		
新北市	雙溪區	魚行里	C0833EB69	水泥桿		
新北市	雙溪區	魚行里	C0833EB66	水泥桿		
新北市	雙溪區	魚行里	C0833EB22	水泥併桿		
新北市	雙溪區	魚行里	C0833EA09	水泥桿		
新北市	雙溪區	魚行里	C0833EA33	水泥桿		
新北市	雙溪區	魚行里	C0833EA20	水泥桿		
新北市	雙溪區	魚行里	C0832DE89	水泥桿		
新北市	雙溪區	魚行里	C0835HB30	水泥桿		
新北市	雙溪區	魚行里	C0835GB40	水泥桿		
新北市	雙溪區	魚行里	C0835GA09	水泥桿		
新北市	雙溪區	魚行里	C0835HA44	水泥桿		
新北市	雙溪區	魚行里	C0832DE92	水泥桿		
新北市	雙溪區	魚行里	C0832DD88	水泥桿		
新北市	雙溪區	魚行里	C0832ED27	水泥桿		
