縣市	行政區	村里	圖號坐標	型式
宜蘭縣	三星鄉	尾塹村	E9366CE15	水泥桿
宜蘭縣	宜蘭市	新生里	E9580HC8401	水泥桿
宜蘭縣	宜蘭市	七張里	E9680CB83	水泥桿
宜蘭縣	宜蘭市	七張里	E9680DB12	水泥桿
宜蘭縣	宜蘭市	七張里	E9680DB32	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EA09	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EA48	水泥併桿
宜蘭縣	宜蘭市	七張里	E9680EB30	水泥桿
宜蘭縣	宜蘭市	七張里	E9680HC33	水泥桿
宜蘭縣	宜蘭市	七張里	E9680HC64	水泥桿
宜蘭縣	宜蘭市	七張里	E9780AC05	水泥桿
宜蘭縣	宜蘭市	七張里	E9780AC47	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EB22	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EB53	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EB84	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FB15	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FB08	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EC92	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FC14	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EC73	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FB56	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FB77	水泥併桿
宜蘭縣	宜蘭市	七張里	E9680FB97	水泥桿
宜蘭縣	宜蘭市	七張里	E9680GB39	水泥桿
宜蘭縣	宜蘭市	七張里	E9680GC80	水泥桿
宜蘭縣	宜蘭市	七張里	E9680HC01	水泥桿
宜蘭縣	宜蘭市	七張里	E9680EA87	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FA15	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FA44	水泥桿
宜蘭縣	宜蘭市	七張里	E9680FA73	水泥桿
宜蘭縣	宜蘭市	七張里	E9580HC83	水泥桿
宜蘭縣	宜蘭市	七張里	E9580HC93	水泥桿
宜蘭縣	宜蘭市	七張里	E9680AC12	水泥桿
宜蘭縣	宜蘭市	七張里	E9680GA12	水泥桿
宜蘭縣	宜蘭市	七張里	E9680GA51	水泥桿
宜蘭縣	宜蘭市	七張里	E9679GE89	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE19	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE47	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE76	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE68	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE44	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE30	水泥桿
宜蘭縣	宜蘭市	七張里	E9679HE99	水泥桿
宜蘭縣	宜蘭市	七張里	E9780AA40	水泥桿
宜蘭縣	宜蘭市	七張里	E9780BA02	水泥桿
宜蘭縣	宜蘭市	七張里	E9780BA44	水泥桿
宜蘭縣	宜蘭市	七張里	E9780BA85	水泥桿
宜蘭縣	宜蘭市	七張里	E9780CA27	水泥桿
宜蘭縣	宜蘭市	七張里	E9780CB31	水泥桿
宜蘭縣	宜蘭市	七張里	E9780CB45	水泥桿
宜蘭縣	宜蘭市	七張里	E9779AE05	水泥併桿
宜蘭縣	宜蘭市	七張里	E9779AE15	水泥桿
宜蘭縣	宜蘭市	七張里	E9779AE43	水泥桿
宜蘭縣	宜蘭市	七張里	E9779AE73	水泥桿
宜蘭縣	宜蘭市	七張里	E9779BE02	水泥桿
宜蘭縣	宜蘭市	七張里	E9680AB28	水泥桿
宜蘭縣	宜蘭市	七張里	E9680AB25	水泥桿
宜蘭縣	宜蘭市	七張里	E9680AC23	水泥桿
宜蘭縣	宜蘭市	七張里	E9680AC54	水泥桿
