縣市	行政區	村里	圖號坐標	型式
臺南市	官田區	二鎮里	N1237DE4779	水泥桿
臺南市	新營區	中營里	N1357CD7703	水泥桿
臺南市	下營區	大屯里	N0140CC21	水泥桿
臺南市	下營區	大屯里	N0140CC24	水泥桿
臺南市	下營區	仁里里	N0439AA41	水泥桿
臺南市	下營區	茅港里	N0738BD30	水泥桿
臺南市	下營區	茅港里	N0739CD88	水泥桿
臺南市	下營區	茅港里	N0739DA59	水泥桿
臺南市	下營區	茅港里	N0739DB64	水泥桿
臺南市	下營區	茅港里	N0739DB67	水泥桿
臺南市	下營區	茅港里	N0739DB69	水泥桿
臺南市	下營區	賀建里	N0843DD40	水泥桿
臺南市	下營區	新興里	N0541AE25	水泥桿
臺南市	下營區	新興里	N0643GB32	水泥桿
臺南市	大內區	二溪里	N2219FB78	水泥桿
臺南市	大內區	內江里	N1614FA94	水泥桿
臺南市	大內區	內郭里	N1817HA57	水泥桿
臺南市	大內區	內郭里	N1817HB52	水泥桿
臺南市	大內區	內郭里	N1817HB56	水泥桿
臺南市	大內區	頭社里	N2125AA16	水泥桿
臺南市	大內區	頭社里	N2125AA58	水泥桿
臺南市	六甲區	二甲里	N1539DC7734	水泥桿
臺南市	六甲區	二甲里	N1540DB45	水泥桿
臺南市	六甲區	大丘里	N2637AD10	水泥桿
臺南市	六甲區	大丘里	N2936DA92	水泥桿
臺南市	六甲區	大丘里	N2936EA20	水泥桿
臺南市	六甲區	王爺里	N2341GA45	水泥桿
臺南市	六甲區	菁埔里	N1041GE71	水泥桿
臺南市	北門區	永華里	M8645DA56	水泥桿
臺南市	北門區	玉港里	M8847DA54	水泥桿
臺南市	北門區	玉港里	M8847ED42	水泥桿
臺南市	北門區	玉港里	M9049BB28	水泥桿
臺南市	北門區	玉港里	M9049BC51	水泥桿
臺南市	北門區	玉港里	M9049BC83	水泥桿
臺南市	北門區	玉港里	M9049CC15	水泥桿
臺南市	北門區	玉港里	M9049CC47	水泥桿
臺南市	北門區	玉港里	M9049CC79	水泥桿
臺南市	北門區	玉港里	M9049CD90	水泥桿
臺南市	北門區	慈安里	M8341CE92	水泥桿
臺南市	北門區	慈安里	M8341EE80	水泥桿
臺南市	北門區	慈安里	M8444HA85	水泥桿
臺南市	北門區	鯤江里	M9053DE73	水泥桿
臺南市	北門區	鯤江里	M9053EE02	水泥桿
臺南市	北門區	鯤江里	M9053EE21	水泥桿
臺南市	白河區	仙草里	N3165EC79	水泥桿
臺南市	白河區	竹門里	N2873BA27	水泥桿
臺南市	白河區	汴頭里	N2769GD72	水泥桿
臺南市	白河區	汴頭里	N2769HC09	水泥桿
臺南市	白河區	汴頭里	N2869BD78	水泥桿
臺南市	白河區	汴頭里	N2869CD09	水泥桿
臺南市	白河區	虎山里	N2868HC69	水泥桿
臺南市	白河區	虎山里	N2968AC07	水泥桿
臺南市	白河區	關嶺里	N3357GA6277	水泥桿
臺南市	官田區	二鎮里	N1332DD73	水泥桿
臺南市	官田區	官田里	N1229GD64	水泥桿
臺南市	官田區	社子里	N1629HB78	水泥桿
臺南市	官田區	社子里	N1729AC31	水泥桿
臺南市	官田區	南部里	N0936GB88	水泥桿
臺南市	官田區	渡頭里	N1423HB78	水泥桿
臺南市	官田區	渡頭里	N1522HE10	水泥併桿
臺南市	官田區	隆田里	N1031HD93	水泥桿
臺南市	官田區	嘉南里	N1636BC44	水泥桿
臺南市	東山區	大客里	N2458CB48	水泥桿
臺南市	東山區	大客里	N2458CC52	水泥桿
臺南市	東山區	大客里	N2658ED49	水泥桿
臺南市	東山區	水雲里	N2546AB77	水泥桿
臺南市	東山區	東原里	N2946BC65	水泥桿
臺南市	東山區	東原里	N2946BC97	水泥桿
臺南市	東山區	南勢里	N3246EA11	水泥桿
臺南市	東山區	南勢里	N3448AA47	水泥桿
臺南市	東山區	嶺南里	N2645GA76	水泥桿
臺南市	東山區	嶺南里	N2742GB33	水泥桿
臺南市	後壁區	新東里	N1364DC45	水泥桿
臺南市	柳營區	八翁里	N0949AE58	水泥桿
臺南市	柳營區	八翁里	N0949AE88	水泥桿
臺南市	柳營區	八翁里	N0949BD09	水泥桿
臺南市	柳營區	八翁里	N0949GD28	水泥桿
臺南市	柳營區	八翁里	N0949GD58	水泥桿
臺南市	柳營區	八翁里	N1049EB63	水泥桿
臺南市	柳營區	八翁里	N1049EB69	水泥桿
臺南市	柳營區	旭山里	N2052ED07	水泥桿
臺南市	柳營區	重溪里	N1555GA80	水泥桿
臺南市	柳營區	重溪里	N1555GA93	水泥桿
臺南市	柳營區	篤農里	N1853CB41	水泥桿
臺南市	柳營區	篤農里	N1853EA73	水泥桿
臺南市	柳營區	篤農里	N1853GA21	水泥桿
臺南市	麻豆區	北勢里	N0038CC28	水泥桿
臺南市	麻豆區	北勢里	N0038CD31	水泥桿
臺南市	麻豆區	北勢里	N0136CB33	水泥桿
臺南市	新營區	護鎮里	N0559GB10	水泥桿
臺南市	新營區	護鎮里	N0862HA46	水泥桿
臺南市	學甲區	三慶里	M9450BD51	水泥桿
臺南市	學甲區	三慶里	M9450CD01	水泥桿
臺南市	學甲區	三慶里	M9450EC47	水泥桿
臺南市	學甲區	三慶里	M9452CE87	水泥桿
臺南市	學甲區	三慶里	M9753BB09	水泥桿
臺南市	學甲區	光華里	M9047DA18	水泥桿
臺南市	學甲區	光華里	M9047DB21	水泥桿
臺南市	學甲區	光華里	M9047DB35	水泥桿
臺南市	學甲區	光華里	M9047DD93	水泥桿
臺南市	學甲區	光華里	M9050DB4154	水泥桿
臺南市	學甲區	光華里	M9050EB51	水泥桿
臺南市	學甲區	光華里	M9050ED62	水泥桿
臺南市	學甲區	光華里	M9146GE9794	水泥桿
臺南市	學甲區	宅港里	M9446FE15	水泥桿
臺南市	學甲區	宅港里	M9545DD56	水泥桿
臺南市	學甲區	新達里	M9541FA63	水泥桿
臺南市	學甲區	新達里	M9543FB09	水泥桿
臺南市	學甲區	豐和里	M9636DC31	水泥桿
臺南市	學甲區	豐和里	M9636DC82	水泥桿
臺南市	學甲區	豐和里	M9638GE36	水泥桿
臺南市	學甲區	豐和里	M9839AC53	水泥桿
臺南市	學甲區	豐和里	M9839AC83	水泥桿
臺南市	六甲區	大丘里	N2935BE00	水泥桿
臺南市	學甲區	明宜里	M9341GE13	水泥併桿
臺南市	學甲區	明宜里	M9341GE2513	水泥桿
臺南市	學甲區	秀昌里	M9341GE04	水泥桿
臺南市	學甲區	秀昌里	M9341FE65	水泥桿
臺南市	學甲區	秀昌里	M9341FE16	水泥桿
臺南市	六甲區	甲南里	N1539HA36	水泥桿
臺南市	六甲區	龍湖里	N1538GC02	水泥桿
臺南市	六甲區	龍湖里	N1538GC01	水泥併桿
臺南市	六甲區	七甲里	N1538FC70	水泥桿
臺南市	六甲區	七甲里	N1538FC40	水泥桿
臺南市	六甲區	七甲里	N1538FC10	水泥桿
臺南市	六甲區	七甲里	N1538EC80	水泥桿
臺南市	六甲區	七甲里	N1538EB49	水泥桿
臺南市	六甲區	七甲里	N1538EC51	水泥桿
臺南市	六甲區	七甲里	N1538EC40	水泥桿
臺南市	六甲區	七甲里	N1538EC01	水泥桿
臺南市	六甲區	七甲里	N1538DC51	水泥桿
臺南市	六甲區	七甲里	N1538DC31	水泥桿
臺南市	六甲區	七甲里	N1538DC11	水泥桿
臺南市	六甲區	七甲里	N1538DC30	水泥併桿
臺南市	六甲區	七甲里	N1538DB38	水泥桿
臺南市	六甲區	七甲里	N1538DB34	水泥桿
臺南市	六甲區	七甲里	N1538DB22	水泥桿
臺南市	六甲區	七甲里	N1538DA27	水泥桿
臺南市	六甲區	七甲里	N1538DC01	水泥桿
臺南市	六甲區	龍湖里	N1538DC14	水泥桿
臺南市	六甲區	龍湖里	N1538DC28	水泥桿
臺南市	六甲區	龍湖里	N1538DD32	水泥桿
臺南市	六甲區	龍湖里	N1538DD55	水泥桿
臺南市	六甲區	龍湖里	N1538GC11	水泥桿
臺南市	六甲區	龍湖里	N1638BB50	水泥桿
臺南市	六甲區	龍湖里	N1638BA79	水泥桿
臺南市	六甲區	龍湖里	N1638CA08	水泥桿
臺南市	六甲區	龍湖里	N1638CA27	水泥桿
臺南市	六甲區	龍湖里	N1638CA74	水泥桿
臺南市	六甲區	龍湖里	N1638DA22	水泥桿
臺南市	六甲區	龍湖里	N1638DA50	水泥桿
臺南市	六甲區	龍湖里	N1637DE99	水泥桿
臺南市	六甲區	龍湖里	N1538GC31	水泥桿
臺南市	六甲區	龍湖里	N1538GC60	水泥桿
臺南市	六甲區	龍湖里	N1538HC00	水泥桿
臺南市	六甲區	龍湖里	N1538HB39	水泥桿
臺南市	六甲區	龍湖里	N1538HB59	水泥桿
臺南市	六甲區	龍湖里	N1538HB78	水泥桿
臺南市	六甲區	龍湖里	N1638AB16	水泥桿
臺南市	六甲區	龍湖里	N1638AB64	水泥桿
臺南市	六甲區	龍湖里	N1638AB92	水泥桿
臺南市	六甲區	龍湖里	N1638BB21	水泥桿
臺南市	六甲區	龍湖里	N1538FC82	水泥桿
臺南市	六甲區	七甲里	N1538FB87	水泥桿
臺南市	六甲區	七甲里	N1538FB86	水泥桿
臺南市	六甲區	七甲里	N1538FB82	水泥桿
臺南市	六甲區	龍湖里	N1538ED67	水泥桿
臺南市	六甲區	龍湖里	N1538ED48	水泥桿
臺南市	六甲區	六甲里	N1538FE77	水泥併桿
臺南市	六甲區	七甲里	N1538FA87	水泥桿
臺南市	六甲區	七甲里	N1538FA69	水泥桿
臺南市	六甲區	七甲里	N1538FA38	水泥桿
臺南市	六甲區	七甲里	N1538FA85	水泥桿
臺南市	六甲區	七甲里	N1538FA82	水泥桿
臺南市	六甲區	七甲里	N1537FE89	水泥桿
臺南市	六甲區	龍湖里	N1537GE09	水泥桿
臺南市	六甲區	龍湖里	N1637BD38	水泥桿
臺南市	六甲區	龍湖里	N1637BD86	水泥桿
臺南市	六甲區	龍湖里	N1537GE39	水泥桿
臺南市	六甲區	龍湖里	N1537GE59	水泥桿
臺南市	六甲區	龍湖里	N1537GE89	水泥桿
臺南市	六甲區	龍湖里	N1537HE37	水泥桿
臺南市	六甲區	龍湖里	N1537HE85	水泥桿
臺南市	六甲區	龍湖里	N1637AE14	水泥桿
臺南市	六甲區	龍湖里	N1637AE61	水泥桿
臺南市	六甲區	龍湖里	N1637AE80	水泥桿
臺南市	六甲區	七甲里	N1537FE49	水泥桿
臺南市	六甲區	七甲里	N1538FA00	水泥桿
臺南市	六甲區	七甲里	N1538EA70	水泥桿
臺南市	六甲區	七甲里	N1537FE85	水泥桿
臺南市	六甲區	七甲里	N1537FE81	水泥併桿
臺南市	六甲區	龍湖里	N1537GE02	水泥桿
臺南市	六甲區	七甲里	N1537FD87	水泥桿
臺南市	六甲區	甲南里	N1539HA23	水泥桿
臺南市	六甲區	七甲里	N1537FD83	水泥桿
臺南市	六甲區	七甲里	N1537FC89	水泥桿
臺南市	六甲區	龍湖里	N1537GC07	水泥桿
臺南市	六甲區	龍湖里	N1637BB34	水泥桿
臺南市	六甲區	龍湖里	N1637BB82	水泥桿
臺南市	六甲區	龍湖里	N1637CB11	水泥桿
臺南市	六甲區	龍湖里	N1537GC36	水泥桿
臺南市	六甲區	龍湖里	N1537GC65	水泥併桿
臺南市	六甲區	龍湖里	N1537GD70	水泥桿
臺南市	六甲區	龍湖里	N1537GC95	水泥桿
臺南市	六甲區	龍湖里	N1537HC23	水泥桿
臺南市	六甲區	龍湖里	N1537HC62	水泥併桿
臺南市	六甲區	龍湖里	N1537HC91	水泥桿
臺南市	六甲區	龍湖里	N1537HB87	水泥桿
臺南市	官田區	湖山里	N1636BE41	水泥桿
臺南市	官田區	湖山里	N1537HB63	水泥桿
臺南市	官田區	湖山里	N1537HA48	水泥桿
臺南市	官田區	湖山里	N1537HA23	水泥桿
臺南市	官田區	湖山里	N1537HA21	水泥桿
臺南市	官田區	湖山里	N1536HE69	水泥桿
臺南市	官田區	湖山里	N1636AE27	水泥桿
臺南市	官田區	湖山里	N1636AE65	水泥桿
臺南市	官田區	湖山里	N1636BE03	水泥桿
臺南市	六甲區	龍湖里	N1637AB48	水泥桿
臺南市	六甲區	龍湖里	N1637AB97	水泥桿
臺南市	六甲區	七甲里	N1537FC85	水泥桿
臺南市	六甲區	七甲里	N1537FC83	水泥桿
臺南市	六甲區	七甲里	N1537FC81	水泥桿
臺南市	六甲區	七甲里	N1537FB87	水泥桿
臺南市	六甲區	七甲里	N1537FB83	水泥桿
臺南市	六甲區	七甲里	N1537FB75	水泥桿
臺南市	六甲區	七甲里	N1537FB45	水泥桿
臺南市	六甲區	七甲里	N1537FB26	水泥桿
臺南市	六甲區	七甲里	N1537FB29	水泥桿
