縣市	行政區	村里	圖號坐標	型式
澎湖縣	馬公市	安宅里	Y4488CA53	水泥桿
澎湖縣	馬公市	安宅里	Y4488CB89	水泥桿
澎湖縣	馬公市	安宅里	Y4488EE9200	水泥併桿
澎湖縣	馬公市	安宅里	Y4488EE7700	木併桿
澎湖縣	馬公市	安宅里	Y4489GB22	水泥桿
澎湖縣	湖西鄉	果葉村	Y5489AC61	水泥桿
澎湖縣	湖西鄉	果葉村	Y5489BB18	水泥併桿
澎湖縣	湖西鄉	果葉村	Y5489BC80	木桿
澎湖縣	馬公市	虎井里	Y3469AA4703	木桿
澎湖縣	湖西鄉	成功村	Y4788GE84	用戶自備桿
澎湖縣	七美鄉	南港村	Y2204BE7558	木桿
澎湖縣	七美鄉	南港村	Y2203GA1824	木桿
澎湖縣	七美鄉	南港村	Y2204AC0044	木桿
澎湖縣	七美鄉	南港村	Y2204AB2796	木桿
澎湖縣	西嶼鄉	二崁村	Y3394BE81	水泥桿
澎湖縣	西嶼鄉	二崁村	Y3394BD70	水泥桿
澎湖縣	七美鄉	中和村	Y2306AB4084	木桿
澎湖縣	七美鄉	中和村	Y2306AB8949	木桿
澎湖縣	七美鄉	中和村	Y2306BA1889	木桿
澎湖縣	七美鄉	中和村	Y2306BA4899	木桿
澎湖縣	七美鄉	中和村	Y2306BA8930	木桿
澎湖縣	七美鄉	中和村	Y2306CA8940	木桿
澎湖縣	西嶼鄉	竹灣村	X3302DE5244	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3302AC8310	木桿
澎湖縣	西嶼鄉	竹灣村	X3302AA2523	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3201HE96	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3201HD69	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3201HC28	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3302CE75	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3302BE7914	水泥桿
澎湖縣	西嶼鄉	合界村	X3303BA8412	水泥桿
澎湖縣	西嶼鄉	合界村	X3303BB93	水泥桿
澎湖縣	西嶼鄉	合界村	X3303BC9122	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3302BD25	水泥桿
澎湖縣	西嶼鄉	竹灣村	X3201HD56	水泥桿
澎湖縣	馬公市	山水里	Y4375CE14	水泥桿
澎湖縣	馬公市	山水里	Y4375CE06	水泥桿
澎湖縣	馬公市	山水里	Y4376BA91	水泥桿
澎湖縣	馬公市	山水里	Y4475BA23	水泥桿
澎湖縣	馬公市	山水里	Y4475CA00	水泥桿
澎湖縣	馬公市	山水里	Y4474CD37	水泥桿
澎湖縣	馬公市	山水里	Y4474CD50	水泥桿
澎湖縣	湖西鄉	潭邊村	Y4593FE03	水泥桿
澎湖縣	白沙鄉	中屯村	Y4496HD35	水泥併桿
澎湖縣	白沙鄉	中屯村	Y4496HD41	木桿
澎湖縣	白沙鄉	中屯村	Y4496HC37	水泥併桿
澎湖縣	白沙鄉	中屯村	Y4497FA31	水泥桿
澎湖縣	白沙鄉	中屯村	Y4497CB39	木桿
澎湖縣	白沙鄉	中屯村	Y4497FA12	水泥桿
澎湖縣	白沙鄉	中屯村	Y4497EA64	水泥桿
澎湖縣	白沙鄉	中屯村	Y4497EA17	水泥桿
澎湖縣	白沙鄉	中屯村	Y4497DB70	木桿
澎湖縣	白沙鄉	中屯村	Y4497DB23	水泥桿
澎湖縣	白沙鄉	中屯村	Y4497CB67	木桿
澎湖縣	白沙鄉	中屯村	Y4497CC01	水泥桿
澎湖縣	湖西鄉	潭邊村	Y4593HC98	水泥併桿
澎湖縣	湖西鄉	鼎灣村	Y4693AC36	水泥桿
澎湖縣	湖西鄉	鼎灣村	Y4693AC49	水泥併桿
澎湖縣	湖西鄉	鼎灣村	Y4693AD78	水泥併桿
澎湖縣	湖西鄉	鼎灣村	Y4693BC12	水泥桿
澎湖縣	湖西鄉	尖山村	Y5188BB75	水泥併桿
澎湖縣	湖西鄉	林投村	Y5088BA79	水泥桿
澎湖縣	湖西鄉	湖西村	Y5190GC49	水泥桿
澎湖縣	湖西鄉	湖西村	Y5190GC22	水泥併桿
澎湖縣	馬公市	井垵里	Y4175AA16	水泥桿
澎湖縣	馬公市	井垵里	Y4175BE59	水泥桿
澎湖縣	馬公市	井垵里	Y4176BA85	水泥併桿
澎湖縣	馬公市	井垵里	Y4175AD90	水泥桿
澎湖縣	馬公市	井垵里	Y4175AC88	水泥桿
澎湖縣	馬公市	井垵里	Y4175AC77	水泥桿
澎湖縣	馬公市	井垵里	Y4175AC73	水泥桿
澎湖縣	馬公市	井垵里	Y4175AC61	水泥桿
澎湖縣	馬公市	井垵里	Y4175AB59	水泥桿
澎湖縣	馬公市	井垵里	Y4175AB47	水泥桿
澎湖縣	馬公市	井垵里	Y4175AB45	水泥桿
澎湖縣	馬公市	井垵里	Y4175AB33	水泥桿
澎湖縣	馬公市	井垵里	Y4175BD18	水泥桿
澎湖縣	馬公市	井垵里	Y4175AB21	水泥桿
澎湖縣	馬公市	井垵里	Y4176BA73	水泥桿
澎湖縣	馬公市	井垵里	Y4175AA19	水泥桿
澎湖縣	馬公市	井垵里	Y4175AA04	水泥桿
澎湖縣	馬公市	井垵里	Y4075HA92	水泥桿
澎湖縣	馬公市	井垵里	Y4075HA90	水泥桿
澎湖縣	馬公市	井垵里	Y4074HE88	水泥桿
澎湖縣	馬公市	井垵里	Y4074HE53	水泥桿
澎湖縣	馬公市	井垵里	Y4074HD49	水泥桿
澎湖縣	馬公市	井垵里	Y4074HD35	水泥桿
澎湖縣	馬公市	井垵里	Y4074GD97	水泥桿
澎湖縣	馬公市	井垵里	Y4074GE60	水泥桿
澎湖縣	馬公市	井垵里	Y4074GE41	水泥桿
澎湖縣	馬公市	井垵里	Y4074GE22	水泥桿
澎湖縣	馬公市	井垵里	Y4074HD21	水泥桿
澎湖縣	馬公市	井垵里	Y4074HC17	水泥桿
澎湖縣	馬公市	井垵里	Y4176BA61	水泥桿
澎湖縣	馬公市	井垵里	Y4074HC13	水泥併桿
澎湖縣	馬公市	井垵里	Y4074HB09	水泥桿
澎湖縣	馬公市	中興里	Y4074HC44	水泥桿
澎湖縣	馬公市	井垵里	Y4074HC74	水泥桿
澎湖縣	馬公市	井垵里	Y4074HC94	水泥桿
澎湖縣	馬公市	五德里	Y4174AC13	水泥桿
澎湖縣	馬公市	五德里	Y4174AC42	水泥桿
澎湖縣	馬公市	五德里	Y4174AB59	水泥桿
澎湖縣	馬公市	五德里	Y4174AB67	水泥桿
澎湖縣	馬公市	五德里	Y4174AB74	水泥併桿
澎湖縣	馬公市	五德里	Y4174AB72	水泥桿
澎湖縣	馬公市	五德里	Y4174BB14	水泥桿
澎湖縣	馬公市	五德里	Y4174BB45	水泥併桿
澎湖縣	馬公市	五德里	Y4174BB87	水泥桿
澎湖縣	馬公市	五德里	Y4174CC10	水泥桿
澎湖縣	馬公市	五德里	Y4174DC30	水泥桿
澎湖縣	馬公市	五德里	Y4174DB78	水泥桿
澎湖縣	馬公市	井垵里	Y4175BE47	水泥桿
澎湖縣	馬公市	五德里	Y4174AA99	水泥桿
澎湖縣	馬公市	五德里	Y4174BA06	水泥桿
澎湖縣	馬公市	井垵里	Y4175BE35	水泥桿
澎湖縣	馬公市	井垵里	Y4175BE22	水泥桿
澎湖縣	馬公市	井垵里	Y4175BE20	水泥桿
澎湖縣	馬公市	井垵里	Y4175BD04	水泥桿
澎湖縣	馬公市	山水里	Y4278HA53	水泥桿
澎湖縣	馬公市	山水里	Y4278HB91	水泥桿
澎湖縣	馬公市	五德里	Y4378AC32	水泥桿
澎湖縣	馬公市	五德里	Y4378BC26	水泥桿
澎湖縣	馬公市	五德里	Y4276AC26	水泥併桿
