縣市	行政區	村里	圖號坐標	型式		
金門縣	金湖鎮	新湖里	Z1254ED1984	水泥併桿		
金門縣	金沙鎮	光前里	Z1466GB48	水泥桿		
金門縣	金沙鎮	光前里	Z1466GB41	水泥桿		
金門縣	金沙鎮	光前里	Z1466GB25	水泥桿		
金門縣	金湖鎮	蓮庵里	Z1752BE27	水泥桿		
金門縣	金湖鎮	新市里	Z1752BE29	水泥桿		
金門縣	金湖鎮	蓮庵里	Z1752BE57	水泥桿		
金門縣	金寧鄉	安美村	Z0157HE80	水泥桿		
金門縣	金寧鄉	盤山村	Z0257AE12	水泥桿		
金門縣	金寧鄉	盤山村	Z0257AE54	水泥桿		
金門縣	金寧鄉	盤山村	Z0257AE66	水泥桿		
金門縣	金寧鄉	安美村	Z0257BE19	水泥桿		
金門縣	金寧鄉	安美村	Z0258BA32	水泥桿		
金門縣	金寧鄉	后盤村	Z0460CA05	水泥桿		
金門縣	金寧鄉	后盤村	Z0460DE84	水泥桿		
金門縣	金寧鄉	后盤村	Z0460BA66	水泥桿		
金門縣	金寧鄉	后盤村	Z0460BB80	水泥桿		
金門縣	金寧鄉	后盤村	Z0460CB15	水泥桿		
金門縣	金寧鄉	后盤村	Z0460CC40	水泥桿		
金門縣	金寧鄉	后盤村	Z0460CC63	水泥桿		
金門縣	金寧鄉	后盤村	Z0460CC90	水泥桿		
金門縣	金寧鄉	后盤村	Z0460DD25	水泥桿		
金門縣	金寧鄉	后盤村	Z0460DE50	水泥桿		
金門縣	金沙鎮	何斗里	Z1060AA61	水泥桿		
金門縣	金沙鎮	何斗里	Z1060AA85	水泥桿		
金門縣	金沙鎮	何斗里	Z1060AA98	水泥桿		
金門縣	金沙鎮	何斗里	Z1060BB11	水泥桿		
金門縣	金沙鎮	何斗里	Z1060BB24	水泥桿		
金門縣	金沙鎮	何斗里	Z1060BB36	木桿		
金門縣	金沙鎮	何斗里	Z1060BB59	木桿		
金門縣	金沙鎮	何斗里	Z1060BC61	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9352DD12	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252BE69	水泥桿		
金門縣	烈嶼鄉	上林村	Z9252BE66	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9253BB83	水泥桿		青岐高幹#
金門縣	烈嶼鄉	林湖村	Z9253BB9465	水泥桿		青岐高幹#
金門縣	烈嶼鄉	林湖村	Z9253BB9487	水泥桿		青岐高幹#
金門縣	烈嶼鄉	林湖村	Z9253BA88	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252DD50	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252DC76	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252DC94	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252DC81	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252DC50	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252AC35	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252AC24	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9252AC10	木併桿		
金門縣	烈嶼鄉	林湖村	Z9252AB05	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9152HB90	木桿		
金門縣	烈嶼鄉	林湖村	Z9152HA95	水泥桿		
金門縣	烈嶼鄉	林湖村	Z9152HA82	木桿		
金門縣	烈嶼鄉	林湖村	Z9251AE19	木桿		
金門縣	烈嶼鄉	林湖村	Z9251AE25	木桿		
金門縣	烈嶼鄉	林湖村	Z9251AE34	水泥桿		
