縣市	行政區	村里	圖號坐標	型式
連江縣	南竿鄉	復興村	S0548DA8972	木桿
連江縣	南竿鄉	復興村	S0548EA2819	水泥桿
連江縣	南竿鄉	復興村	S0548DA8595	木桿
連江縣	南竿鄉	復興村	S0548DA9210	木桿
連江縣	莒光鄉	青帆村	S0207HA0348	木桿
連江縣	北竿鄉	板里村	S0860CB4272	木桿
連江縣	北竿鄉	芹壁村	S0961ED4922	水泥桿
連江縣	北竿鄉	芹壁村	S0961EE7211	水泥桿
連江縣	北竿鄉	芹壁村	S0961EE8301	水泥桿
連江縣	北竿鄉	芹壁村	S0961EE8597	水泥桿
連江縣	北竿鄉	芹壁村	S0961EE9998	水泥桿
連江縣	北竿鄉	芹壁村	S0962EA9256	水泥桿
連江縣	北竿鄉	芹壁村	S0961CC6995	水泥併桿
連江縣	北竿鄉	芹壁村	S0961CD7027	水泥桿
連江縣	北竿鄉	芹壁村	S0961DC0968	水泥桿
連江縣	北竿鄉	芹壁村	S0961DC3959	水泥桿
連江縣	北竿鄉	芹壁村	S0961DD7036	水泥桿
連江縣	北竿鄉	芹壁村	S0961DD8440	水泥桿
連江縣	北竿鄉	芹壁村	S0961ED0715	水泥桿
連江縣	北竿鄉	板里村	S0760HB5611	水泥桿
連江縣	北竿鄉	板里村	S0760HB4404	水泥桿
連江縣	北竿鄉	板里村	S0760HB2149	水泥桿
連江縣	北竿鄉	板里村	S0760HA0878	水泥桿
連江縣	北竿鄉	板里村	S0760GA8995	木桿
連江縣	北竿鄉	板里村	S0760GB4358	木桿
連江縣	北竿鄉	板里村	S0760GB2638	木桿
連江縣	北竿鄉	板里村	S0760FC8134	水泥桿
連江縣	北竿鄉	板里村	S0760HC9731	水泥桿
連江縣	北竿鄉	板里村	S0760HC8458	水泥桿
連江縣	北竿鄉	板里村	S0760HC7169	水泥桿
連江縣	北竿鄉	板里村	S0760HB6868	水泥桿
連江縣	莒光鄉	大坪村	S0802FE0447	水泥桿
連江縣	北竿鄉	橋仔村	S1064FA2820	水泥桿
連江縣	北竿鄉	橋仔村	S1064GE6460	木桿
連江縣	北竿鄉	橋仔村	S1065GA5136	H桿
連江縣	北竿鄉	橋仔村	S1065GB5526	木併桿
連江縣	北竿鄉	橋仔村	S1065HB0537	木桿
連江縣	北竿鄉	橋仔村	S1065HB1579	木桿
連江縣	北竿鄉	橋仔村	S1065HB4529	木併桿
連江縣	北竿鄉	橋仔村	S1065HB5974	木桿
連江縣	北竿鄉	橋仔村	S1065HC9005	木併桿
連江縣	北竿鄉	塘岐村	S1165AC1359	木桿
連江縣	北竿鄉	塘岐村	S1165AC3482	木桿
連江縣	北竿鄉	橋仔村	S1064FC4333	水泥桿
連江縣	北竿鄉	橋仔村	S1064FB5186	水泥桿
連江縣	北竿鄉	橋仔村	S1165AC8731	木桿
連江縣	北竿鄉	橋仔村	S1165BC1959	木桿
連江縣	北竿鄉	橋仔村	S1165BD3123	木桿
連江縣	北竿鄉	塘岐村	S1165BD4279	木併桿
連江縣	北竿鄉	塘岐村	S1165BD6603	木桿
連江縣	北竿鄉	橋仔村	S1165BD6748	水泥桿
