縣市	行政區	村里	圖號坐標	型式		
高雄市	左營區	新下里	Q0920CC70	水泥併桿		
高雄市	楠梓區	廣昌里	Q0724EB15	水泥桿		
高雄市	三民區	本館里	Q1329CC10	水泥桿		
高雄市	楠梓區	宏榮里	Q0826HD71	水泥桿		
高雄市	岡山區	後協里	Q0643ED65	水泥桿		
高雄市	岡山區	協和里	Q0643EE21	水泥桿		
高雄市	茄萣區	崎漏里	P9858AC33	水泥桿		
高雄市	三民區	德東里	Q0912CE16	水泥桿		
高雄市	三民區	德東里	Q0912CE58	水泥併桿		
高雄市	三民區	德東里	Q0912CE78	水泥桿		
高雄市	楠梓區	隆昌里	Q0824GC68	水泥桿		
高雄市	田寮區	崇德里	Q2064HA42	水泥桿		
高雄市	田寮區	崇德里	Q2064HA63	水泥桿		
高雄市	田寮區	崇德里	Q2164AA05	水泥桿		
高雄市	左營區	光輝里	Q0825FA69	水泥桿		
高雄市	楠梓區	加昌里	Q0928DC1208	水泥桿		
高雄市	三民區	安泰里	Q1012HB94	水泥桿		
高雄市	三民區	灣子里	Q1113EC89	水泥併桿		
高雄市	三民區	灣子里	Q1113FD02	水泥桿		
高雄市	三民區	灣子里	Q1113FD15	水泥桿		
高雄市	三民區	灣子里	Q1113FD28	水泥併桿		
高雄市	左營區	尾北里	Q0917EA44	水泥桿		
高雄市	左營區	中南里	Q0819EE00	水泥併桿		
高雄市	三民區	正興里	Q1115CD99	水泥桿		
高雄市	梓官區	梓和里	Q0435CE7511	H桿		
高雄市	田寮區	西德里	Q1861GD42	水泥桿		
高雄市	燕巢區	角宿里	Q1539BB79	水泥併桿		
高雄市	燕巢區	金山里	Q2146HB18	水泥桿		
高雄市	路竹區	竹東里	Q0361CC31	水泥併桿		
高雄市	湖內區	中賢里	P9669HC15	水泥桿		
高雄市	田寮區	三和里	Q1959BE26	水泥桿		
高雄市	永安區	維新里	Q0344DD50	水泥桿		
高雄市	三民區	鼎西里	Q1129HE90	水泥桿		
高雄市	三民區	鼎金里	Q1229FA95	水泥桿		
高雄市	永安區	保寧里	Q0052HC37	水泥桿		
高雄市	岡山區	仁壽里	Q0744EA12	水泥桿		
高雄市	岡山區	壽峰里	Q0745HB39	水泥桿		
高雄市	茄萣區	白雲里	P9369GA05	水泥桿		
高雄市	梓官區	赤西里	Q0231CA60	木桿		
高雄市	梓官區	梓信里	Q0437EE65	水泥桿		
高雄市	梓官區	梓義里	Q0436FD37	水泥桿		
高雄市	梓官區	禮蚵里	Q0230GC00	水泥桿		
高雄市	湖內區	劉家里	P9865FE10	水泥桿		
高雄市	楠梓區	藍田里	Q0737DB21	水泥桿		
高雄市	楠梓區	藍田里	Q0836AC65	水泥桿		
高雄市	路竹區	後鄉里	Q0154HE40	水泥桿		
高雄市	路竹區	鴨寮里	Q0655GB20	水泥桿		
高雄市	橋頭區	仕隆里	Q0961FA96	水泥桿		
高雄市	橋頭區	甲南里	Q0734HC57	水泥桿		
高雄市	橋頭區	甲南里	Q0734HD54	水泥桿		
高雄市	橋頭區	白樹里	Q1038HB89	水泥桿		
高雄市	橋頭區	芋寮里	Q0735GD77	水泥桿		
高雄市	橋頭區	芋寮里	Q0735GD77	水泥桿		
高雄市	橋頭區	筆秀里	Q1038HE41	水泥併桿		
高雄市	彌陀區	彌陀里	Q0240EC71	水泥併桿		
高雄市	彌陀區	彌陀里	Q0240EC75	水泥桿		
高雄市	大社區	嘉誠里	Q1934FC46	水泥桿		
高雄市	梓官區	赤東里	Q0231CA83	水泥桿		
高雄市	梓官區	梓義里	Q0436FD48	水泥桿		
高雄市	梓官區	禮蚵里	Q0230FB79	水泥桿		
高雄市	路竹區	後鄉里	Q0154HD17	水泥桿		
高雄市	梓官區	梓信里	Q0438FA29	水泥桿		
高雄市	路竹區	後鄉里	Q0154GD98	水泥桿		
高雄市	路竹區	後鄉里	Q0154GD46	水泥桿		
高雄市	三民區	安吉里	Q1111AC45	水泥桿		
高雄市	大社區	保社里	Q1532AD82	水泥桿		
高雄市	仁武區	高楠里	Q1149EA37	水泥桿		
高雄市	仁武區	高楠里	Q1150HE34	水泥桿		
高雄市	仁武區	高楠里	Q1249CE16	水泥桿		
高雄市	左營區	崇實里	Q0718BD72	水泥桿		
高雄市	左營區	菜公里	Q1033DC79	水泥併桿		
高雄市	永安區	永華里	P9848GB53	水泥併桿		
高雄市	永安區	保寧里	Q0153AB58	水泥併桿		
高雄市	永安區	維新里	Q0145EE59	水泥桿		
高雄市	永安區	維新里	Q0244GE15	水泥併桿		
高雄市	永安區	維新里	Q0245AA57	水泥桿		
高雄市	永安區	維新里	Q0246AA71	水泥桿		
高雄市	永安區	維新里	Q0345HA49	水泥併桿		
高雄市	田寮區	西德里	Q1761HD64	水泥桿		
高雄市	田寮區	南安里	Q1957DE63	水泥併桿		
高雄市	田寮區	南安里	Q1958EC69	水泥桿		
高雄市	田寮區	崇德里	Q2163AE19	水泥併桿		
